2025-07-05 21:43:58.799 - Detected: fist, Action: down
2025-07-05 21:44:04.924 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:06.519 - Detected: fist, Action: down
2025-07-05 21:44:07.130 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:07.698 - Detected: fist, Action: down
2025-07-05 21:44:08.157 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:09.867 - Detected: fist, Action: down
2025-07-05 21:44:10.564 - Detected: one_finger, Action: left
2025-07-05 21:44:11.028 - Detected: two_fingers, Action: right
2025-07-05 21:44:11.893 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:12.776 - Detected: fist, Action: down
2025-07-05 21:44:13.359 - Detected: one_finger, Action: left
2025-07-05 21:44:14.455 - Detected: two_fingers, Action: right
2025-07-05 21:44:15.204 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:18.358 - Detected: thumb_to_palm, Action: up
2025-07-05 21:44:19.621 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:24.394 - Detected: two_fingers, Action: right
2025-07-05 21:44:24.722 - Detected: fist, Action: down
2025-07-05 21:44:25.683 - Detected: two_fingers, Action: right
2025-07-05 21:44:28.639 - Detected: fist, Action: down
2025-07-05 21:44:30.384 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:31.374 - Detected: fist, Action: down
2025-07-05 21:44:31.874 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:32.329 - Detected: fist, Action: down
2025-07-05 21:44:32.659 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:33.258 - Detected: fist, Action: down
2025-07-05 21:44:33.739 - Detected: one_finger, Action: left
2025-07-05 21:44:34.066 - Detected: fist, Action: down
2025-07-05 21:44:34.368 - Detected: one_finger, Action: left
2025-07-05 21:44:36.017 - Detected: two_fingers, Action: right
2025-07-05 21:44:36.496 - Detected: fist, Action: down
2025-07-05 21:44:37.072 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:41.586 - Detected: fist, Action: down
2025-07-05 21:44:42.433 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:44.034 - Detected: fist, Action: down
2025-07-05 21:44:45.397 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:54.380 - Detected: fist, Action: down
2025-07-05 21:44:54.891 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:55.645 - Detected: fist, Action: down
2025-07-05 21:44:56.382 - Detected: all_fingers, Action: neutral
2025-07-05 21:44:59.318 - Detected: fist, Action: down
2025-07-05 21:45:00.651 - Detected: all_fingers, Action: neutral
2025-07-05 21:45:37.280 - Detected: fist, Action: down
2025-07-05 21:45:38.632 - Detected: all_fingers, Action: neutral
2025-07-05 21:45:40.169 - Detected: fist, Action: down
2025-07-05 21:45:45.479 - Detected: all_fingers, Action: neutral
2025-07-05 21:45:47.277 - Detected: fist, Action: down
2025-07-05 21:45:55.865 - Detected: all_fingers, Action: neutral
2025-07-05 21:45:56.722 - Detected: fist, Action: down
2025-07-05 21:45:57.196 - Detected: all_fingers, Action: neutral
2025-07-05 21:45:58.158 - Detected: fist, Action: down
2025-07-05 21:46:00.974 - Detected: one_finger, Action: left
2025-07-05 21:46:01.473 - Detected: fist, Action: down
2025-07-05 21:46:03.987 - Detected: one_finger, Action: left
2025-07-05 21:46:04.450 - Detected: fist, Action: down
2025-07-05 21:46:04.994 - Detected: all_fingers, Action: neutral
2025-07-05 21:46:05.533 - Detected: fist, Action: down
2025-07-05 21:46:06.046 - Detected: all_fingers, Action: neutral
2025-07-05 21:46:06.788 - Detected: fist, Action: down
2025-07-05 21:46:09.869 - Detected: all_fingers, Action: neutral
2025-07-05 21:46:13.837 - Detected: two_fingers, Action: right
2025-07-05 21:46:18.477 - Detected: all_fingers, Action: neutral
2025-07-05 21:46:18.956 - Detected: fist, Action: down
2025-07-05 21:46:19.405 - Detected: all_fingers, Action: neutral
2025-07-05 21:46:19.956 - Detected: fist, Action: down
